109,717,1
430,965,1
63,875,1
252,450,1
402,797,1
315,524,1
530,791,1
6,679,1
911,981,1
964,261,0
298,563,1
757,679,0
746,931,1
648,199,0
679,328,0
501,919,1
219,172,0
541,281,0
911,686,0
151,958,1
778,734,0
30,214,1
435,68,0
100,552,1
255,305,1
282,660,1
679,171,0
467,927,1
513,399,0
181,854,1
31,776,1
292,296,1
479,872,1
999,144,0
245,337,1
164,829,1
540,296,0
463,946,1
659,84,0
246,482,1
263,558,1
469,377,0
603,502,0
418,4,0
391,282,0
421,678,1
128,706,1
779,869,1
945,890,0
471,104,0
64,606,1
824,392,0
664,622,0
299,803,1
758,686,0
424,676,1
13,398,1
659,540,0
485,331,0
228,956,1
935,955,1
46,150,1
853,226,0
167,860,1
383,632,1
645,266,0
298,447,1
727,258,0
497,818,1
980,507,0
206,911,1
774,402,0
278,312,1
898,857,0
777,939,1
864,926,1
252,86,0
895,222,0
259,775,1
868,356,0
321,147,0
484,418,0
627,813,1
552,985,1
716,889,1
725,737,1
920,241,0
143,713,1
493,817,1
793,658,0
481,440,0
31,158,1
523,503,0
733,647,0
363,463,1
103,772,1
580,173,0
815,211,0
476,491,1
4,182,1
31,514,1
733,612,0
745,936,1
676,774,1
696,189,0
618,236,0
216,780,1
139,346,1
673,582,0
948,186,0
532,210,0
719,230,0
998,883,0
451,963,1
665,790,1
675,915,1
68,320,1
869,945,1
443,917,1
82,664,1
529,516,0
623,809,1
78,535,1
419,66,0
836,532,0
18,736,1
492,299,0
277,246,0
190,727,1
985,58,0
756,574,0
114,804,1
480,352,0
800,292,0
207,834,1
653,873,1
636,62,0
409,89,0
751,366,0
46,807,1
213,259,1
459,508,1
129,821,1
503,910,1
323,862,1
370,665,1
380,564,1
637,474,0
670,925,1
980,558,0
339,899,1
339,808,1
957,469,0
232,884,1
677,924,1
117,1000,1
126,359,1
226,685,1
672,505,0
262,69,0
103,507,1
943,510,0
783,599,0
674,73,0
108,475,1
978,264,0
359,924,1
551,891,1
385,208,0
984,525,0
665,526,0
595,254,0
206,811,1
928,156,0
185,275,1
544,705,1
220,954,1
224,851,1
434,928,1
288,991,1
943,380,0
232,241,1
462,182,0
498,716,1
32,271,1
809,423,0
497,617,1
573,499,0
283,523,1
91,89,0
876,932,1
970,597,0
229,66,0
321,165,0
170,875,1
855,621,0
261,955,1
586,276,0
84,786,1
18,231,1
535,435,0
679,490,0
402,458,1
85,856,1
342,697,1
677,540,0
79,532,1
423,576,1
919,161,0
602,756,1
171,93,0
276,331,1
551,861,1
267,911,1
993,783,0
693,209,0
587,202,0
940,620,0
936,260,0
460,721,1
8,494,1
490,655,1
888,938,1
794,877,1
942,178,0
919,973,1
659,114,0
850,429,0
465,350,0
612,363,0
898,334,0
211,403,1
630,560,0
370,185,0
228,829,1
740,475,0
958,683,0
878,595,0
995,482,0
10,154,1
246,235,0
80,590,1
525,711,1
402,992,1
127,894,1
973,604,0
366,61,0
128,113,0
262,827,1
551,506,0
335,304,0
269,688,1
501,15,0
771,356,0
80,447,1
492,832,1
722,783,1
894,774,0
197,700,1
6,973,1
4,1,0
959,460,0
668,811,1
54,599,1
297,797,1
775,483,0
805,60,0
741,653,0
946,37,0
248,557,1
275,482,1
262,366,1
457,190,0
9,15,1
426,991,1
106,729,1
44,903,1
908,489,0
734,721,0
274,727,1
59,189,1
564,885,1
145,522,1
343,867,1
708,627,0
405,162,0
619,411,0
397,473,1
94,54,0
437,532,1
656,806,1
703,97,0
646,104,0
226,368,1
958,521,0
785,329,0
271,405,1
165,525,1
534,634,1
575,349,0
568,477,0
133,875,1
689,236,0
515,268,0
239,481,1
926,582,0
380,198,0
813,133,0
965,292,0
139,541,1
683,64,0
39,2,0
924,775,0
189,787,1
897,941,1
556,355,0
605,852,1
934,876,0
941,345,0
258,501,1
626,331,0
928,284,0
787,216,0
821,763,0
727,517,0
