val1,val2,last_matrix
8744.0,-8752.0,1
-2530.0,-3586.0,1
-2448.0,13872.0,2
5580.0,-6660.0,1
-2268.0,-3564.0,2
-6825.0,12363.0,1
-37920.0,39840.0,1
-72.0,-6120.0,2
-288.0,-864.0,2
5120.0,-13312.0,1
-13188.0,14028.0,1
806.0,-1186.0,1
3156.0,-3324.0,1
5214.0,-18282.0,2
1520.0,2640.0,2
-1512.0,-4104.0,2
-1650.0,-6138.0,2
-144.0,3120.0,2
-2331.0,3177.0,1
1660.0,2860.0,1
-4880.0,-14160.0,2
-880.0,-5680.0,1
-7168.0,8960.0,1
-1305.0,1899.0,1
-29088.0,-29376.0,2
-980.0,-1980.0,2
7866.0,-8334.0,1
1368.0,3960.0,1
-4080.0,8976.0,1
-18924.0,22116.0,1
204.0,1980.0,2
-5890.0,19798.0,2
724.0,744.0,2
-4032.0,6720.0,1
1200.0,-11280.0,2
120.0,612.0,2
-144.0,8496.0,2
5760.0,8640.0,2
-17244.0,-18252.0,2
-256.0,4864.0,2
33573.0,-34143.0,1
-2640.0,-6672.0,1
-590480.0,590500.0,1
-1176.0,-3576.0,2
5016.0,-5352.0,1
-11104.0,-13920.0,2
23040.0,24192.0,2
3500.0,5340.0,2
4146.0,-4638.0,1
-7896.0,12936.0,1
104.0,4680.0,2
270.0,774.0,2
-884.0,-6084.0,2
-37869.0,-38025.0,2
-1068.0,1884.0,1
3680.0,6240.0,2
458.0,-550.0,1
840.0,2280.0,1
3456.0,-6912.0,1
10665.0,-13635.0,1
-456.0,1608.0,2
-11940.0,12360.0,1
5015.0,-11509.0,1
-10184.0,-25992.0,2
432.0,-912.0,1
-375.0,2865.0,1
5120.0,-15040.0,1
5220.0,-6444.0,1
-4256.0,-9120.0,2
-1148.0,2884.0,1
1518.0,-8250.0,2
-1534.0,1706.0,1
-261.0,543.0,1
-10656.0,13536.0,1
1568.0,-8288.0,2
-1674.0,-2322.0,2
-624.0,1968.0,1
-470.0,-3470.0,2
-23712.0,24672.0,1
-3894.0,6402.0,1
-33735.0,35925.0,1
-336.0,-7056.0,2
-17.0,6171.0,2
285.0,6465.0,2
14784.0,-15456.0,1
-5952.0,7872.0,1
18414.0,-21114.0,1
-850.0,5814.0,2
2442.0,-3438.0,1
-944.0,-1776.0,2
17952.0,-25344.0,1
5110.0,5838.0,2
5056.0,-5312.0,1
-328.0,824.0,1
228.0,1380.0,2
5220.0,8820.0,2
-900.0,1548.0,1
-1832.0,2056.0,1
522.0,6354.0,2
-23560.0,25688.0,1
-112.0,-1072.0,2
-2484.0,-3780.0,2
-9405.0,10575.0,1
-4960.0,6560.0,1
616.0,6664.0,2
-135.0,3213.0,2
-5520.0,7920.0,1
798.0,1782.0,2
1748.0,-10108.0,1
2736.0,3888.0,2
731.0,5015.0,1
4632.0,5112.0,2
-26240.0,78752.0,2
1344.0,-6720.0,2
-792.0,-5112.0,1
2033.0,-14611.0,1
3168.0,-11808.0,2
-3728.0,-4112.0,1
