00,01,02,10,11,12,20,21,22,last
148493,-9156,21903,176689,-10894,26062,-148059,9129,-21839,1
-1363,6098,1814,-623,2787,829,8982,-40185,-11954,0
-95,-47,-156,-48,-23,-78,90,42,145,0
-1,2,0,-2,6,1,9,-27,-5,0
-1,-1,-2,0,-1,-1,6,6,13,0
-458177,-238789,-86160,-1301864,-678495,-244815,876891,457011,164899,1
-10,-7,-2,-37,-20,-7,21,12,4,1
188,-514,-101,84,-229,-45,-147,402,79,0
2,-1,2,5,1,7,-24,3,-29,0
-3,1,0,-1,1,1,0,-3,-5,1
-1,4,1,0,2,1,6,-27,-8,0
-22,3,-7,-63,8,-21,42,-6,13,1
-1,4,1,0,2,1,6,-27,-8,0
4,-19,-6,1,-9,-4,-24,126,43,0
-7,1,-1,-6,-1,-1,6,0,1,1
-77092,358773,111085,-33852,157547,48782,503943,-2345280,-726161,0
-43,224,76,-23,117,39,45,-225,-74,0
230,211,482,103,94,215,-180,-165,-377,0
-794,2451,482,-354,1093,215,621,-1917,-377,1
-20,-24,-7,-63,-71,-21,36,45,13,1
1,0,1,2,1,3,-3,0,-2,1
5,-23,-7,16,-71,-21,-9,42,13,1
-86,23,-11,-85,23,-11,78,-21,10,0
253,-1333,-456,716,-3775,-1292,-3180,16764,5737,0
384,-1172,-227,-1651,5058,986,-6381,19515,3793,1
607,210,895,1822,631,2687,-7980,-2763,-11768,0
2944,1073,4376,1471,537,2187,-2733,-999,-4064,0
-11,-5,-2,-6,-2,-1,72,33,13,0
-2,1,-2,-5,-1,-7,3,0,4,1
-1,1,0,-2,1,0,9,-3,1,0
-5,-3,-1,-16,-8,-3,69,36,13,0
84,-23,11,260,-71,34,-153,42,-20,1
18,7,27,56,20,83,-243,-90,-362,0
-2449,-862,-3623,-7558,-2660,-11181,4458,1569,6595,0
1,-1,0,2,-1,0,-3,6,1,1
-1,0,0,0,-1,0,6,3,1,0
176,-48,23,92,-25,12,-177,48,-23,1
5,5,11,16,15,34,-9,-9,-20,1
-15,-5,-22,-7,-2,-10,99,33,145,0
-175,-58,-256,-611,-204,-895,351,117,514,1
-2,1,-2,-5,-1,-7,3,0,4,0
-1480,-687,-268,-5137,-2383,-930,2955,1371,535,1
-1812554,-1731396,-3884379,-1828532,-1746659,-3918621,1654725,1580634,3546145,1
-5493,15116,2972,-2510,6907,1358,4290,-11805,-2321,0
-64,286,85,-181,810,241,804,-3597,-1070,0
