val1,val2,val3,val4,num_moves_Q_learning_needs,first_move_by_Q_learning
109.0,33.0,360.0,109.0,5,3
62767.0,7227.0,-11169.0,-1286.0,12,3
-233.0,69.0,27.0,-8.0,6,1
325.0,-918.0,1032.0,-2915.0,8,0
-2312.0,819.0,861.0,-305.0,8,1
6319.0,19389.0,-2355.0,-7226.0,12,2
37783.0,107424.0,-14010.0,-39833.0,12,2
1414.0,-501.0,429.0,-152.0,7,1
-71.0,-21.0,-453.0,-134.0,6,3
-287.0,33.0,-87.0,10.0,6,1
19.0,63.0,3.0,10.0,4,2
-2555.0,6891.0,-22041.0,59446.0,12,0
-30725.0,9096.0,-9306.0,2755.0,10,1
-8.0,-3.0,-69.0,-26.0,5,3
307.0,-3717.0,1749.0,-21176.0,12,0
-1889.0,300.0,-6240.0,991.0,8,1
-71.0,-27.0,405.0,154.0,6,3
-2159.0,5673.0,6093.0,-16010.0,10,0
-6443.0,-1023.0,-1014.0,-161.0,9,3
19.0,6.0,-54.0,-17.0,4,3
-35.0,111.0,-6.0,19.0,5,0
316.0,-27.0,-117.0,10.0,7,1
919.0,5865.0,144.0,919.0,9,2
343.0,5037.0,54.0,793.0,11,2
50257.0,5406.0,15237.0,1639.0,11,3
23095.0,-62448.0,8607.0,-23273.0,11,0
-515168.0,1392669.0,155115.0,-419327.0,14,0
2584.0,7347.0,453.0,1288.0,9,2
-28169.0,-8919.0,73794.0,23365.0,11,3
1.0,15.0,0.0,1.0,5,2
-89.0,-15.0,6.0,1.0,7,3
4051.0,23079.0,10872.0,61939.0,11,2
-288161.0,-33135.0,107394.0,12349.0,13,3
-4967.0,16464.0,-804.0,2665.0,10,0
28.0,9.0,87.0,28.0,5,3
586.0,-63.0,-93.0,10.0,7,1
-179.0,600.0,-591.0,1981.0,7,0
73.0,246.0,465.0,1567.0,7,2
208.0,-657.0,-63.0,199.0,6,0
-341.0,921.0,-117.0,316.0,8,0
-17.0,48.0,6.0,-17.0,4,0
57682.0,21939.0,-18549.0,-7055.0,12,3
-3239.0,-1209.0,-576.0,-215.0,9,3
19.0,-60.0,51.0,-161.0,5,0
26011.0,-151845.0,-8202.0,47881.0,13,0
-17.0,48.0,6.0,-17.0,4,0
181.0,54.0,486.0,145.0,6,3
-235412.0,664335.0,70341.0,-198503.0,14,0
-179.0,54.0,-1137.0,343.0,7,1
1.0,-6.0,0.0,1.0,2,0
991.0,-300.0,3267.0,-989.0,7,1
550.0,177.0,87.0,28.0,7,3
19.0,-177.0,54.0,-503.0,7,0
-8837.0,-29124.0,3108.0,10243.0,10,2
172.0,27.0,-51.0,-8.0,5,3
37.0,105.0,438.0,1243.0,9,2
-161.0,534.0,-60.0,199.0,6,0
1027.0,-324.0,168.0,-53.0,8,1
-25793.0,-73332.0,2919.0,8299.0,13,2
-8.0,-3.0,-45.0,-17.0,4,3
-152.0,939.0,45.0,-278.0,7,0
52543.0,295821.0,19485.0,109702.0,12,2
-3203.0,8388.0,-564.0,1477.0,10,0
43597.0,6861.0,16248.0,2557.0,11,3
19.0,-3.0,51.0,-8.0,4,1
-75437.0,26154.0,-239553.0,83053.0,13,1
1.0,0.0,-3.0,1.0,1,1
379.0,-1077.0,120.0,-341.0,7,0
10.0,-63.0,57.0,-359.0,6,0
131977.0,742011.0,49176.0,276481.0,15,2
-7649.0,-2457.0,2889.0,928.0,10,3
1981.0,-6543.0,6534.0,-21581.0,9,0
9559.0,-55854.0,-1026.0,5995.0,12,0
-10592.0,-35703.0,3207.0,10810.0,9,2
145.0,-54.0,384.0,-143.0,6,1
-24839.0,3909.0,-365214.0,57475.0,-1,2
1549.0,4401.0,-573.0,-1628.0,8,2
-1646.0,5079.0,-537.0,1657.0,12,0
5914.0,-54981.0,15555.0,-144611.0,12,0
-5912.0,-1749.0,-55395.0,-16388.0,11,3
21799.0,8310.0,8313.0,3169.0,11,3
-993851.0,293934.0,-2873040.0,849709.0,-1,3
-665.0,-4107.0,108.0,667.0,9,2
-89.0,294.0,-834.0,2755.0,8,0
-287.0,51.0,906.0,-161.0,7,1
3295.0,-8886.0,1161.0,-3131.0,9,0
9109.0,-25779.0,24579.0,-69560.0,12,0
1.0,0.0,18.0,1.0,6,3
-26.0,-153.0,-87.0,-512.0,7,2
30943.0,-197130.0,102585.0,-653543.0,13,0
-8.0,-51.0,-21.0,-134.0,5,2
199.0,60.0,-534.0,-161.0,6,3
7288903.0,-2293569.0,-2207745.0,694702.0,-1,2
